EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-27, ORDER_TYPE=PP01, MATERIAL=000000000050066346}	 | 	(LOG: {required_material={DPC1015,DPC1018}, activity=create production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-05-20 09:01:47, purchase_requisition={}, production_order={990001}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-22 14:53:42, purchase_requisition={300040}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-22 14:53:42, purchase_requisition={300041}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_6872, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-22 15:16:42, purchase_requisition={300039}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_3131, CREAT_DATE=2019-05-22, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req2}, activity=convert to purchase order, material={}, purchase_order={70004}, amount_material=0, time=2019-05-22 15:45:12, purchase_requisition={300015}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_873, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-22 15:46:37, purchase_requisition={300028}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_6788, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-22 15:48:03, purchase_requisition={300002}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_7757, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-22 16:03:57, purchase_requisition={300016}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_7334, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-22 16:41:26, purchase_requisition={300026}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-29, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-22 17:07:11, purchase_requisition={}, production_order={990022}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-22 17:07:11, purchase_requisition={300042}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-22 17:07:11, purchase_requisition={300043}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_6044, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-22 17:34:30, purchase_requisition={300036}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_4653, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-22 18:00:02, purchase_requisition={300012}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-29, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-22 18:34:09, purchase_requisition={}, production_order={990023}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-22 18:34:09, purchase_requisition={300044}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-22 18:34:09, purchase_requisition={300045}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_4653, CREAT_DATE=2019-05-22, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req1}, activity=convert to purchase order, material={}, purchase_order={70005}, amount_material=0, time=2019-05-22 18:42:57, purchase_requisition={300012}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_6687, CREAT_DATE=2019-05-22, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req2}, activity=convert to purchase order, material={}, purchase_order={70006}, amount_material=0, time=2019-05-22 19:38:13, purchase_requisition={300001}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_9225, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-22 19:45:16, purchase_requisition={300032}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-29, ORDER_TYPE=PP01, MATERIAL=000000000050066346}	 | 	(LOG: {required_material={DPC1015,DPC1018}, activity=create production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-05-22 21:22:01, purchase_requisition={}, production_order={990024}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1018}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-22 21:22:01, purchase_requisition={300046}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1015}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-22 21:22:01, purchase_requisition={300047}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_9701, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-22 22:46:08, purchase_requisition={300040}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-30, ORDER_TYPE=PP01, MATERIAL=000000000050066346}	 | 	(LOG: {required_material={DPC1015,DPC1018}, activity=create production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-05-23 04:29:59, purchase_requisition={}, production_order={990025}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1015}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-23 04:29:59, purchase_requisition={300048}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1018}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-23 04:29:59, purchase_requisition={300049}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_3701, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-23 09:25:31, purchase_requisition={300023}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_2607, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-23 09:38:23, purchase_requisition={300006}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_8719, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-23 09:46:11, purchase_requisition={300024}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-30, ORDER_TYPE=PP01, MATERIAL=000000000050066346}	 | 	(LOG: {required_material={DPC1015,DPC1018}, activity=create production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-05-23 09:58:46, purchase_requisition={}, production_order={990026}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1018}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-23 09:58:46, purchase_requisition={300050}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1015}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-23 09:58:46, purchase_requisition={300051}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_675, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-23 10:17:41, purchase_requisition={300011}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_9693, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-23 10:18:29, purchase_requisition={300018}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_5151, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-23 10:20:05, purchase_requisition={300048}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_5999, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-23 10:20:50, purchase_requisition={300044}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_3655, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70004}, amount_material=0, time=2019-05-23 10:35:34, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_5290, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-23 10:42:28, purchase_requisition={300005}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_7202, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-23 10:53:47, purchase_requisition={300019}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_8425, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70006}, amount_material=0, time=2019-05-23 10:55:53, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_9319, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-23 11:27:48, purchase_requisition={300034}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_5051, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-23 11:29:06, purchase_requisition={300030}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_3521, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-23 11:45:16, purchase_requisition={300043}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-30, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-23 12:17:19, purchase_requisition={}, production_order={990027}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-23 12:17:19, purchase_requisition={300052}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-23 12:17:19, purchase_requisition={300053}, production_order={}})
